ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
50675,5.276666666666666,5.458611111111111,30000.0,2016-01-19 14:21:47.980000,2016-01-19 19:49:18.047000,MACARONI KORT PLATTE ZAK,2016-01-09 19:49:18.047000,2016-01-28 19:49:18.047000,6000.0,8.367184430479462,8.23431535011461,3
-1,38.1240925,38.1240925,38.1240925,2016-01-19 19:49:18.047000,2016-01-21 09:56:44.780000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
50724,5.358055555555556,5.754166666666666,30000.0,2016-01-21 09:56:44.780000,2016-01-21 15:41:59.390000,"GESNEDEN MACARONI AS 0,9%",2016-01-12 15:41:59.390000,2016-01-28 15:41:59.390000,6000.0,8.684620239903097,10.987991808734977,8
50708,5.624444444444444,6.508309166666667,30000.0,2016-01-21 15:41:59.390000,2016-01-21 22:12:29.140000,PENNE SCHERPE HOEK 40MM,2016-01-11 22:12:29.140000,2016-01-30 22:12:29.140000,6000.0,9.733251371716674,9.81412326933059,4
50740,5.628888888888889,6.2091925,30000.0,2016-01-21 22:12:29.140000,2016-01-22 04:25:02.920000,KLEIN HORENTJE H/Z 10/90,2016-01-13 04:25:02.920000,2016-01-31 04:25:02.920000,6000.0,9.609367653552997,10.211836732785272,6
-2,0.5183686111111111,0.5183686111111111,0.5183686111111111,2016-01-22 04:25:02.920000,2016-01-22 04:56:09.047000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
50742,5.023611111111111,5.151666666666666,30000.0,2016-01-22 04:56:09.047000,2016-01-22 10:05:15.977000,HORENTJE H/Z 10/90,2016-01-12 10:05:15.977000,2016-02-01 10:05:15.977000,6000.0,9.22073670158846,8.73015872728302,8
-3,11.896498055555554,11.896498055555554,11.896498055555554,2016-01-22 10:05:15.977000,2016-01-22 21:59:03.370000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
50830,16.3375,16.532222222222224,55000.0,2016-01-22 21:59:03.370000,2016-01-23 14:30:59.460000,ZITTI LM 942/1311 1.1% AS/DS,2016-01-15 14:30:59.460000,2016-01-30 14:30:59.460000,3000.0,11.34564791655632,8.82699757534804,2
-4,32.184125,32.184125,32.184125,2016-01-23 14:30:59.460000,2016-01-24 22:42:02.310000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
50909,5.145,6.140555555555555,30000.0,2016-01-24 22:42:02.310000,2016-01-25 04:50:28.720000,HORENTJES H/Z 60/40,2016-01-17 04:50:28.720000,2016-02-01 04:50:28.720000,6000.0,9.345959171916752,9.294841718782973,1
50908,6.623888888888889,6.639691666666667,30000.0,2016-01-25 04:50:28.720000,2016-01-25 11:28:51.583000,QUICK MACARONI KORT 20MM,2016-01-15 11:28:51.583000,2016-02-01 11:28:51.583000,6000.0,10.853496894901529,8.47721434735611,5
-5,1.3742436111111112,1.3742436111111112,1.3742436111111112,2016-01-25 11:28:51.583000,2016-01-25 12:51:18.860000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
50910,5.1786111111111115,5.269166666666667,30000.0,2016-01-25 12:51:18.860000,2016-01-25 18:07:27.267000,ELLEBOOGMACARONI,2016-01-16 18:07:27.267000,2016-02-03 18:07:27.267000,6000.0,11.598246924583105,11.269374794261754,2
50703,7.140555555555555,7.435125,35000.0,2016-01-25 18:07:27.267000,2016-01-26 01:33:33.140000,"SPIRALEN DURUM AS 1,1%",2016-01-17 01:33:33.140000,2016-02-02 01:33:33.140000,6000.0,8.042673701690678,9.19862902499537,8
50741,5.093333333333334,5.357696388888889,30000.0,2016-01-26 01:33:33.140000,2016-01-26 06:55:00.217000,HORENTJE H/Z 10/90,2016-01-18 06:55:00.217000,2016-02-04 06:55:00.217000,6000.0,11.255455376631637,11.41137907053285,5
50912,7.032222222222222,8.297756388888889,30000.0,2016-01-26 06:55:00.217000,2016-01-26 15:12:52.960000,VERMICELLI EXTRA 16mm,2016-01-16 15:12:52.960000,2016-02-04 15:12:52.960000,6000.0,10.568926555393983,10.543636906720486,8
50913,5.877777777777778,6.378626944444445,30000.0,2016-01-26 15:12:52.960000,2016-01-26 21:35:36.180000,PENNE SCHERPE HOEK 40MM,2016-01-17 21:35:36.180000,2016-02-03 21:35:36.180000,6000.0,10.099212814989999,11.782972930529294,3
50877,5.583888888888889,6.161386111111111,30000.0,2016-01-26 21:35:36.180000,2016-01-27 03:45:17.303000,"GESNEDEN MACARONI AS 0,9%",2016-01-19 03:45:17.303000,2016-02-04 03:45:17.303000,6000.0,9.229484549178576,9.306169355064604,5
-6,1.336965,1.336965,1.336965,2016-01-27 03:45:17.303000,2016-01-27 05:05:30.377000,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
